,AssistingPersonalEducation,PossibleToShowPersonalAbility,CareerDevelopmentPossible,,StableJobSecurity,FairWorkAssignment,PrideTowardCompany,VariousWorkExperience,CapableCoworker,ImageOfMajorCompany,SatisfyingCulture,SatisfyingWelfare,SatisfyingSalary,AdaptingToChange,AdhocraciesCulture,HighChanceOfPromotion,PromisingCompanyFuture,CaringBoss,ParentalLeavePossible,WorkLifeBalance,ConvenientLocation,SpontaneousMotivation,FlexibleVacation,FlexibleWorktime,LongTermServicePossible,ProperAmountOfTask,OverallSatisfaction,NiceWorkEnvironment,NiceTeamwork,SystematicTask,ProperTreatment,StatusQuo
SatisfyingCulture,0.0,0.08006407690254358,0.07412493166611012,0.0,0.0,0.0,0.11322770341445954,0.04902903378454604,0.06537204504606131,0.0,1.0,0.03314967720658979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04902903378454604,0.0,0.06362847629757773,0.08362420100070911,0.0,0.0,0.0,0.0,0.12403473458920844,0.0,0.16012815380508716,0.0
SatisfyingWelfare,0.0,0.0,0.0,0.0,0.05976143046671967,0.0,0.048795003647426616,0.14790199457749043,0.08451542547285162,0.0,0.03314967720658979,1.0,0.04517539514526259,0.0,0.09333167411831966,0.0,0.0,0.0,0.13801311186847087,0.10403129732205985,0.21128856368212912,0.0,0.26049403612586375,0.07207499701564468,0.0,0.0,0.16903085094570325,0.15936381457791915,0.0,0.09035079029052517,0.0,0.05345224838248486
SatisfyingSalary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06681531047810607,0.08908708063747484,0.0,0.0,0.04517539514526259,1.0,0.0,0.0,0.0,0.0,0.0,0.21821789023599236,0.06579516949597686,0.0,0.0,0.13006649542861792,0.11396057645963797,0.0,0.13363062095621214,0.0,0.0,0.0,0.0,0.0,0.0
AdaptingToChange,0.0,0.0,0.0,0.5773502691896258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09016696346674324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06622661785325223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AdhocraciesCulture,0.0,0.0,0.0,0.1561737618886061,0.0,0.0,0.06375767130633381,0.0,0.11043152607484652,0.0,0.0,0.09333167411831966,0.0,0.09016696346674324,1.0,0.09016696346674324,0.0,0.09016696346674324,0.0,0.05437272478270372,0.11043152607484652,0.0,0.26871538646250703,0.04708816093480106,0.0,0.0,0.11043152607484652,0.0,0.0,0.0,0.0,0.06984302957695787
HighChanceOfPromotion,0.2357022603955159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09016696346674324,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06622661785325223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PromisingCompanyFuture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10206207261596578,0.13608276348795434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21821789023599236,0.0,0.0
CaringBoss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09016696346674324,0.0,0.0,1.0,0.0,0.0,0.10206207261596578,0.0,0.13245323570650436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ParentalLeavePossible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13801311186847087,0.21821789023599236,0.0,0.0,0.0,0.0,0.0,1.0,0.10050378152592121,0.0,0.0,0.06622661785325223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WorkLifeBalance,0.14213381090374033,0.05025189076296066,0.0465242105199235,0.0,0.0870388279778489,0.0,0.0,0.030772872744833202,0.0,0.0,0.0,0.10403129732205985,0.06579516949597686,0.0,0.05437272478270372,0.0,0.0,0.0,0.10050378152592121,1.0,0.030772872744833202,0.0,0.15974461276617435,0.10497277621629564,0.0,0.061545745489666404,0.1230914909793327,0.0,0.0,0.06579516949597686,0.10050378152592121,0.0
ConvenientLocation,0.0,0.0,0.0,0.0,0.08838834764831849,0.0,0.2165063509461097,0.0625,0.125,0.20412414523193156,0.04902903378454604,0.21128856368212912,0.0,0.0,0.11043152607484652,0.0,0.0,0.10206207261596578,0.0,0.030772872744833202,1.0,0.0,0.14194374348941718,0.10660035817780522,0.0,0.125,0.0,0.11785113019775795,0.0,0.0,0.0,0.0790569415042095
SpontaneousMotivation,0.0,0.28867513459481287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FlexibleVacation,0.0,0.06622661785325223,0.0,0.0,0.057353933467640394,0.0,0.04682929057908469,0.06083303292403597,0.08111071056538122,0.0,0.06362847629757773,0.26049403612586375,0.13006649542861792,0.06622661785325223,0.26871538646250703,0.06622661785325223,0.0,0.13245323570650436,0.06622661785325223,0.15974461276617435,0.14194374348941718,0.0,1.0,0.10375716957991121,0.0,0.12166606584807194,0.08111071056538122,0.03823595564509363,0.0,0.0,0.06622661785325223,0.1025978352085154
FlexibleWorktime,0.0,0.0,0.080582296402538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08362420100070911,0.07207499701564468,0.11396057645963797,0.0,0.04708816093480106,0.0,0.0,0.0,0.0,0.10497277621629564,0.10660035817780522,0.0,0.10375716957991121,1.0,0.0,0.10660035817780522,0.0,0.10050378152592121,0.0,0.0,0.0,0.0
LongTermServicePossible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ProperAmountOfTask,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13363062095621214,0.0,0.0,0.0,0.0,0.0,0.0,0.061545745489666404,0.125,0.0,0.12166606584807194,0.10660035817780522,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3162277660168379
OverallSatisfaction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16903085094570325,0.0,0.0,0.11043152607484652,0.0,0.0,0.0,0.0,0.1230914909793327,0.0,0.0,0.08111071056538122,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NiceWorkEnvironment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15936381457791915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11785113019775795,0.0,0.03823595564509363,0.10050378152592121,0.0,0.0,0.0,1.0,0.0,0.12598815766974236,0.0,0.0
NiceTeamwork,0.0,0.0,0.11952286093343933,0.0,0.0,0.44721359549995787,0.0,0.0790569415042095,0.21081851067789192,0.0,0.12403473458920844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SystematicTask,0.15430334996209194,0.10910894511799618,0.0,0.0,0.0,0.0,0.0,0.0,0.08908708063747484,0.0,0.0,0.09035079029052517,0.0,0.0,0.0,0.0,0.21821789023599236,0.0,0.0,0.06579516949597686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12598815766974236,0.0,1.0,0.0,0.0
ProperTreatment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13608276348795434,0.0,0.16012815380508716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10050378152592121,0.0,0.0,0.06622661785325223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
StatusQuo,0.0,0.1290994448735806,0.0,0.0,0.0,0.0,0.0,0.0,0.10540925533894596,0.0,0.0,0.05345224838248486,0.0,0.0,0.06984302957695787,0.0,0.0,0.0,0.0,0.0,0.0790569415042095,0.0,0.1025978352085154,0.0,0.0,0.3162277660168379,0.0,0.0,0.0,0.0,0.0,1.0
