,info,title,advantage,drawback,opinion,promotion,welfaresalary,worklifebalance,culture,executives,total,date,region,workingstatus,department
0,금융/재무 | 현직원 | 서울 | 2019/8/24,편하지만 경력개발이불가함 발전이없음 회사든 개인이든 그냥 머물러있는곳임,연차자유롭고 휴가많음 타회사에비해 업무강도낮음 외국계느낌도 있기는 있음 휴가많은게 제일장점임,열정이다들없음 경력개발불가 배울수있는것도 적음 기업내부가 고인물느낌이너무큼 실무자들중에 능력있는사람은 나감 남아있는사람들은 본인 위치에만족해서발전없음,,2.0,2.0,4.0,3.0,1.0,2.4,2019-08-24 00:00:00, 서울 , 현직원 ,금융/재무 
26,경영/기획/컨설팅 | 현직원 | 경기 | 2019/4/17,예전 리뷰들 얘기는 먼옛날 지금은 차마 이돈 받고 살수 없는 수준,연차 많음위에서 일시켜도 별 부담 안됨 부담없는 맞벌이이고 개인시간 많이 필요하다면 괜찮음 개인연금 및 의료비 지원 조건 괜찮음,월급이 놀라울 정도로 적음 가정 불화의 원인이 될 정도 편의점 야간 알바가 더 벌 정도 문재인 대통령이 최저임금 올려줘야 월급 오름 인력 30프로가 최저임금임 일하는 사람들이 열정을 잃었음 시키는 사람도 이제 다 알기 때문에 재대로 시키지도 못함,,2.0,1.0,4.0,2.0,1.0,2.0,2019-04-17 00:00:00, 경기 , 현직원 ,경영/기획/컨설팅 
27,IT/인터넷 | 현직원 | 경기 | 2019/4/15,대우 괜찮음 다만 기업 환경 문제 고려해야 함,연차 자유로움 근무강도도 팀마다 케바케임 다만 팀 업무에 따른 경험 증대 가능성,국내 1위 기업이 아닌 서자의 서러움 따라서 업무 진행시 난관 있음,신규 사업 추진 및 르노에만 치우치지 않으면 좋겠음,3.0,3.0,3.0,3.0,3.0,3.0,2019-04-15 00:00:00, 경기 , 현직원 ,IT/인터넷 
28,연구개발 | 현직원 | 경기 | 2019/4/13,프랑스 르노 본사를 위해 존재하는 회사 비전은 따로 없음,휴가가 많다 여름 휴가가 2주정도 되고 연말에도 1주일 이상 쉰다 그 외에도 셧다운으로 자주 쉰다,모든 수익은 직원이 아닌 프랑스 본사로 돌아가게 된다 일을 해도 보람을 느끼기가 어려운 구조 프랑스와의 시차로 인한 업무 어려움,,2.0,2.0,2.0,4.0,1.0,2.2,2019-04-13 00:00:00, 경기 , 현직원 ,연구개발 
29,연구개발 | 현직원 | 경기 | 2019/4/7,자유로운 분위기 하지만 직원을 아끼지 않는 회사 현재의 모습에서 변하지 않는다면 미래는,실무자들간의 자유로운 분위기 충분한 재산이 있다면 Work  life 추구 가능 수도권 근무,임금인상율 약 0 직원을 사람이 아닌 소모품으로 생각 불확실성한 미래 불합리한 의사 결정,경영진 각각 개인을 생각하기 보다는 회사의 미래를 생각했으면,3.0,1.0,3.0,4.0,1.0,2.4,2019-04-07 00:00:00, 경기 , 현직원 ,연구개발 
30,연구개발 | 전직원 | 서울 | 2019/3/22,워라벨 최고의 직장외국계기업으로 진정한 글로벌 분위기,글로벌 분위기 회사 공무원 같은 칼퇴 워라벨 최고,급여 동종업계 최저 급여 외벌이는 2월에는 알바 뛰어야 함,,3.0,1.0,5.0,5.0,1.0,3.0,2019-03-22 00:00:00, 서울 , 전직원 ,연구개발 
31,생산/제조 | 현직원 | 경기 | 2019/3/20,무늬만 외국계 르노 횡포 심함 예전엔 워라벨 좋았으나 이제는 헬오브헬,장점이 없음 부바부이긴 하나 장점이던 워라벨 마져 52시간 시행으로 없어짐,자동차 업계에서 최하위의 연봉 사람들이 너무 빠져나가서 높아지는 업무량,,3.0,1.0,2.0,3.0,1.0,2.0,2019-03-20 00:00:00, 경기 , 현직원 ,생산/제조 
32,연구개발 | 현직원 | 경기 | 2019/3/12,워라밸은 좋고 비교적 수평적인 조직 문화이나 연봉이 적음 업계 꼴찌라 전반적으로 기가 죽어 있음,워라밸이 좋고 연차 사용이 자유로워 연구소 기준으로 여름 휴가에 적게는 2주부터 많게는 3주까지 쓰기도 함 집안이나 배우자가 돈이 많다면 다니기 정말 좋은 회사,업계 꼴찌라 전반적으로 기가 죽어있고 패배감이 있음 완성차 업체이지만 협력사에서 대우 안해줌 현기차에 비해 답답한 판매 활동 르노 본사의 짠 지원으로 일할 맛이 안남,,3.0,2.0,5.0,4.0,1.0,3.0,2019-03-12 00:00:00, 경기 , 현직원 ,연구개발 
33,유통/무역 | 현직원 | 경기 | 2019/3/7,프랑스와 일본의 결정권에 따라 좌지우지 되지만 큰 업무의 압박감 없이 다닐 수 있음,연차와 퇴근을 눈치보지 않고 사용 가능 여름 휴가 2주 이상 사용 가능,연봉이 업계 평균에 미치지 못함 업무에 대한 결정권이 없는 편,좀 더 체계적이고 앞으로의 플랜이 필요,3.0,1.0,5.0,4.0,2.0,3.0,2019-03-07 00:00:00, 경기 , 현직원 ,유통/무역 
34,생산/제조 | 전직원 | 부산 | 2019/3/6,이곳에서 일한 경험이 있다면 다른 회사의 업무강도는 편하게 느껴지는 곳,식사가 2가지 선택형이다 통근퇴근버스가 시내버스노선급이라 어디서든 출퇴근 가능하다 잔업추가가 일체 없음 문제가 생겨서 발생하더라도 시급의 2배 지급,실적문제인지는 모르겠으나 인원감축으로 인해 휴가 쓰기가 힘들다는 점 업무강도에 비해 연봉이 작게 느껴질지도 모른다는 점,,3.0,3.0,3.0,5.0,2.0,3.2,2019-03-06 00:00:00, 부산 , 전직원 ,생산/제조 
35,연구개발 | 현직원 | 경기 | 2019/3/2,불안하고 불투명한 미래  연차와 휴가 좋음  낮은 급여,여름겨울 휴가 및 연차 사용 자유로움 비교적 합리적인 분위기,낮은 급여 경력이나 성과에 따른 보상은 없는 수준 직원들이 전반적으로 회사에 대한 신뢰나 애정이 적음,보상 체계는 보완이 필요,1.0,1.0,4.0,2.0,1.0,1.8,2019-03-02 00:00:00, 경기 , 현직원 ,연구개발 
36,경영/기획/컨설팅 | 전직원 | 서울 | 2019/2/22,내인생 최고의 실수 괜히 유럽짱깨가 아님 이름값못함 후진적이고 불통의 대명사로 발전 가능성이 보이지 않는 무늬만 외국계,주 52시간이 시행되면서 그나마도 있던 장점 사라짐 완전 개인주의 키워주지 않지만 간섭도 잘 안한다,연봉 사기  르노본사에서 직원들 자꾸 후려치려 그래서 연봉이 오르기는 커녕 자꾸 줄어듦 나중엔 신입연봉과 역전하는 신기한 상황이 생김,,1.0,1.0,2.0,2.0,1.0,1.4,2019-02-22 00:00:00, 서울 , 전직원 ,경영/기획/컨설팅 
37,엔지니어링 | 현직원 | 경기 | 2019/2/21,경력 쌓기는 좋은 곳 연차에 비에 맡는 일이 많다 르노스쿨이라는 말이 있을 정도 부서 by 부서 지만 대체적으로 자유로운 분위기 워라밸만 있음,연구소 기준으로 연차를 자유롭게 쓸 수 있게 해주는 것 여름 겨울 shutdown이 있다는 것 돈 많으면 여행 많이 다닐 수 있음,심하게 말하면 프랑스 식민지 인사팀경영진이 있던 로얄티도 떨어트리는 회사 돈이 적다 적다 하지만 생각보다 더 적게 주는 곳,프랑스 위에 사람들에게만 잘보이려고 하지말고 직원들에게도 잘 보이려고 노력했으면,3.0,2.0,4.0,4.0,1.0,2.8,2019-02-21 00:00:00, 경기 , 현직원 ,엔지니어링 
38,연구개발 | 전직원 | 경기 | 2019/2/15,프랑스에 잘보이고 싶어하는 경영진으로 인해 연봉은 오르지 않고 일은 늘어나고 있음,프로젝트나 팀에 있는 사람들은 모두 좋은 사람들임 사람이 좋아서 별 두 개 준 것,연봉은 동종업계 최저가 아니라 외국계 대기업인게 우스울 정도로 연봉이 적음 휴가는 강제 사용이며 휴가를 다 못쓴다면 그냥 없어짐 식당 단가는 매우 낮으며 명함 또한 본인이 돈내고 만들어야 함 관리자부터는 프랑스 눈치보고 잘 보이고자해서 그런건지 프로젝트가 힘든 점은 관심없고 빨리 결과만 바람,,1.0,1.0,2.0,2.0,1.0,1.4,2019-02-15 00:00:00, 경기 , 전직원 ,연구개발 
39,연구개발 | 현직원 | 경기 | 2019/2/12,휴가사용 자유로움 인사팀의 횡포 심함 대체로 나가는 분위기 연봉인상 매우 적음 연봉 동종업계 최하위,연차 사용이 자유롭고 회식이 적음 개인적인 분위기 휴가 몰아서 사용이 가능하여 여행하기 좋음 수평적이며 야근하지 않는 분위기 물론 부서와 상황에 따라 다름,프랑스인이 일을 안해서 프로세스를 많이 만들어 놓아서 챙길 게 많음 인사팀의 갑질 연봉인상 매우 적음 연봉 동종업계 최하위 다들 나가려는 분위기,,2.0,1.0,4.0,3.0,1.0,2.2,2019-02-12 00:00:00, 경기 , 현직원 ,연구개발 
40,엔지니어링 | 현직원 | 경기 | 2019/2/8,돈도 적고 워라벨도 최악이고 업무 스트레스도 굉장히 많은 편 물론 워라벨은 부사마다 케바케임 의장설계가 가장 안좋음,기본적으로 다른 회사보다 쉬는 날이 훨씬 많습니다 대리급까지만 해도 연차 눈치보고 쓰지않아도 되구요,사원한테 연봉은 적은 편이 아니지만 연차가 올라갈수록 상승률이 거의 제로에 가까움 과장이상은 오면 안되는 회사임 주 52시간은 아예 지킬생각이 없음,,2.0,1.0,2.0,4.0,2.0,2.2,2019-02-08 00:00:00, 경기 , 현직원 ,엔지니어링 
41,유통/무역 | 전직원 | 경남 | 2019/1/28,국내에 하나뿐인 삼성자동차 물류센터 주력 8종의 완성차의 부품을 취급하기 위해 물류센터를 설계하였으나 현재 20종이 넘는 자동차의 부품 물류센터로 가동 되고 있음단기 근무하기에는 좋음 주5일 근무가 지켜지고 있음,연차와 수당은 대기업인 만큼 철저히 관리되며 주 52시간을 이행함 연차는 조별과 상의하여 언제든지 자기가 원하는 날짜에 사용할수 있음,차종 증가로 인하여 물류센터의 공간이 많이 부족함 그러다 보니 외부에서 일하는 경우가 많음  센터 밖에서 분배 작업을 하다보니 겨울은 춥고 여름은 더움 또한 물류센터의 조별 장들은 일을 하지를 않음,제한된 공간에서 랙을 늘리기 보다는 센터를 확충하여 작업자의 능률성을 확보해주시기 바람 매번 협력사의 제안사항을 형식적으로 받고 있지만 전혀 개선되지를 않고 있음  퇴사율이 높은만큼 센터 확충 및 실제 일하는 협력사의 이야기도 반영해주면 좋겠습니다,2.0,2.0,1.0,2.0,2.0,1.8,2019-01-28 00:00:00, 경남 , 전직원 ,유통/무역 
42,연구개발 | 현직원 | 경기 | 2019/1/25,그냥 아무 생각없이 다니기는 좋은 회사 사람들이 패배의식에 쩔어있음 하지만 칼퇴월차 는 눈치 안보고 쓸 수 있는 유일한 제조업 회사,연차를 윗사람 눈치 안보고 쓸 수 있음 일이 한창 바쁠 때도 쉰다고 하면 그냥 쉬라고 해주는회사,만년 업계 꼴찌 새로운 차종 개발해도 내수 성공할 가능성이 없다고 생각하니 사람들이 열정을 가지고 일하는 경우가 없음 르노가 가져가는 배당액은 점점 커지는 반면 임직원에게 돌아오는 돈은 적으니 속이 터진다,돈좀 많이줘실력있는 사람들 다 돈 때문에 나가잖아요,3.0,2.0,5.0,4.0,2.0,3.2,2019-01-25 00:00:00, 경기 , 현직원 ,연구개발 
43,영업/제휴 | 전직원 | 전북 | 2019/1/24,영업을 배울 수 있음 그게 다임 수당은 타사보다 센편임,출근 후엔 자유임 매장마다 분위기 다를 수 있지만 대부분이 그러함 교육을 해주는 듯 하나 쓸모없음,월급 받는 지점장 밑에서 일하는 터라 실적 압박 강함 실적 부족하면 차 바꾸라고 강요함,,1.0,1.0,4.0,2.0,2.0,2.0,2019-01-24 00:00:00, 전북 , 전직원 ,영업/제휴 
