,info,title,advantage,drawback,opinion,promotion,welfaresalary,worklifebalance,culture,executives,total,date,region,workingstatus,department
0,서비스/고객지원 | 전직원 | 서울 | 2019/8/27,직원들의 편의성을 제공하며 나름의 젊은 분위기의 직장 하지만 직무상 고객접점은 타 직종과 큰 차이점은 없음,자기시간을 자유롭게 사용가능 직원들간의 분위기는 좋은 편 다양한 문화행사 지원이 있음,고객접점 특성상 전화에 대한 스트레스 집중적으로 근무를 해야할 시간에 숨쉴틈이 없음,좀더 직원들을 지켜줄수 있는 회사가 되었으면 좋겠다고 생각합니다,3.0,3.0,4.0,4.0,3.0,3.4,2019-08-27 00:00:00, 서울 , 전직원 ,서비스/고객지원 
11,유통/무역 | 전직원 | 서울 | 2019/8/7,얼마나 꼼꼼하게 처리했는지 보다 얼마나 많은 양의 업무를 처리했는지 가 더 인정받는 회사,자유로운 분위기 대부분 연령대가 젊어서 꼰대문화가 많이 없고 수직적인 관계는 소수에게서만 볼 수 있다,처리한 업무의 질 보다 처리한 업무의 양이 그 사람의 능력에 대한 지표가 되며 날림으로 처리한 업무의 똥은 돌고 돌아 남이 치우게 되는 분위기,업무능률 평가가 처리한 업무의 양이 아닌 처리한 업무의 결과물로 진행이 되야하지 않은가 생각이 됨 양이 중요시 되다 보니 성의있게 처리해야한다는 의욕이 생기지 않는다 근무당시에 개선이 필요함을 절실하게 느꼈다,3.0,2.0,1.0,3.0,2.0,2.2,2019-08-07 00:00:00, 서울 , 전직원 ,유통/무역 
12,영업/제휴 | 현직원 | 서울 | 2019/8/7,이커머스 특히 소셜커머스에대해 배우기 좋음,팀바이팀이지만 팀 분위기가 좋았음 젊은분위기 복지포인트 헬스키핑 등 복지,나는 계약직이라 압박은 못느꼈음 보면 비엠디직군은 월급이 적은것 같음 실장이상은 고인물같기도 하고 일하면서 느낀건 엠디들은 불쌍 광고영업 힘들것 같음 엠디는 퇴사율 높은듯,계약직을 정규직으로 전환율좀 높여주세요 정규직 되고 싶답니다ㅠㅠ,2.0,3.0,2.0,3.0,2.0,2.4,2019-08-07 00:00:00, 서울 , 현직원 ,영업/제휴 
13,IT/인터넷 | 현직원 | 서울 | 2019/8/6,개발자로서 큰성장을 이루기보단 안정적인 일을 하기 좋은회사 신입이 보단 경력이 오면 좋은 회사 스킬은 화려하진 않지만 멘탈이 강하면 오래 버틸수 있는 회사,연차자유는 기본 야근수당 직원 10적립 개발장비 요구하면 즉시 구매해줌 보수적인 개발스타일 역에서 가까움 지하철 2호선라인 코엑스 가까움 워크샵 잘안함 멘탈 좋아서 평생다닐꺼 같은분들 꽤 있음,정치는 기본 잦은 조직개편 레거시 업무 CTO의 부재로 인한 개발문화 역삼각형구조,다 좋은데 정치싸움으로 이상하게 변해가는 이상하게 변해가는 위메프가 안되도록 중심을 잡아 주시길,2.0,3.0,4.0,3.0,2.0,2.8,2019-08-06 00:00:00, 서울 , 현직원 ,IT/인터넷 
14,영업/제휴 | 현직원 | 서울 | 2019/8/5,자주바뀌는 정책으로 정신없습니다 정신똑바로 차려야 살아남는곳,1 지하철역에서 1분거리 2 복지포인트 지급 3 구내식당 2500원 차감 4 네임벨류,1 부서이동 등 변동이 잦음 2 젊은 꼰대 존재함 3 부서바이부서로 직무강도 높음,,3.0,3.0,3.0,3.0,3.0,3.0,2019-08-05 00:00:00, 서울 , 현직원 ,영업/제휴 
15,마케팅/시장조사 | 전직원 | 서울 | 2019/8/5,본인의 능력이 해당 업무에 적합하면 발전 기회가 많음,수평적인 사내 문화 연령대가 젊어서 편안하고 비교적 자유로움,업무량이 너무 많고 모든 일이 열심히 한다고 되는 게 아님 본인의 적성과 능력이 잘 맞아떨어져야 함,능력과 인성이 겸비된 사람을 팀장으로 세웠으면 한다 모든 팀을 다 돌아보기 힘들지만 리더감의 사람을 보는 안목이 부족한듯,4.0,4.0,1.0,4.0,3.0,3.2,2019-08-05 00:00:00, 서울 , 전직원 ,마케팅/시장조사 
16,디자인 | 전직원 | 서울 | 2019/8/4,위메프디자이너포토샵잘하는AMD 끔찍한 작업량과 업무방식,귀여운 복지로 위로했으나 그마저도 없어져 간다 디자인 욕심없이 다니고 싶다면 잘 맞을것 근성을 기를수 있다,논문을 써야 할 정도로 많지만 포폴에 아무짝에 쓸모없는 황당한 작업을 많이한다 엠디들 갑질로 마음에 병이든다,매출에 눈이 멀어 사람을 못보는 회사,1.0,1.0,1.0,1.0,1.0,1.0,2019-08-04 00:00:00, 서울 , 전직원 ,디자인 
17,마케팅/시장조사 | 전직원 | 서울 | 2019/8/3,눈앞의 단기적인 성과도 중요 하지만 멀리 볼수있는 리더가 생기길 바라요,연차 자유롭게 사용가능 야근 거의 없음 복지포인트 등 소소한 복지 역이랑 가까움,계속 바뀌는 정책 하루하루 내려오는 일 처리하기 급급한 운영 방식 멀리 볼 줄 아는 리더의 부재 기업 규모에 비해 너무 낮은 연봉,퇴사자가 많고 비슷한 이유로 다들 나가는건 개인의 문제가 아니에요,4.0,2.0,4.0,2.0,2.0,2.8,2019-08-03 00:00:00, 서울 , 전직원 ,마케팅/시장조사 
18,영업/제휴 | 전직원 | 경기 | 2019/7/30,근무하기 좋은 편에 속하는 기업 같아 보인다,학벌 빼고는 자유 스러운 분위기 밝은 젊은 기업 이미지,직원들이 살갑지 않다 냉정해야 오래간다 퇴사 후 연락와도 일 얘기만,앞으로도 좋은 프로모션 많이 해주세요,2.0,3.0,4.0,3.0,2.0,2.8,2019-07-30 00:00:00, 경기 , 전직원 ,영업/제휴 
19,디자인 | 전직원 | 서울 | 2019/7/25,업무가 세분화되어있어서 일하기엔 편했던 것 같은데 디자이너가 경력 쌓기에 좋은 곳은 절대 아님,연차 눈치안보고 사용가능함 복지카드 생일반차 복지는 다른곳 다녀보니 좋은편이였음,나 다닐땐 윗분들 계속 지인 데려와서 팀장이상급으로 꽂아넣어서 기존에 위메프에 헌신하고 애정있던 분들 결국 지쳐서 퇴사하기 일수였음 디자이너는 시간에 쫓겨서 빨리 작업하는게 더 중요하기때문에 포폴로 쓸만한 퀄리티 내는게 힘들고 별로 도움도 안됨,사람을 좀 아껴주시길 회사에 애정이 생길 수가 없는 시스템이였음,2.0,3.0,2.0,3.0,2.0,2.4,2019-07-25 00:00:00, 서울 , 전직원 ,디자인 
20,영업/제휴 | 현직원 | 서울 | 2019/7/25,고인물이 많음 입맛대로 바뀌는 정책에 쥐어짜는 특가상품 시스템도 엉망 정산도 엉망 사람도 엉망,진심없음 그나마 복지가 장점이였는데 통보식으로 줄여나감,너무 많아서 다 담을 수 없을 정도 마른 걸레에서 물 한방울이라고 더 짜는 심정으로 직원들에게 실적압박 장난아님 실질적은 문제 해결보다 모든 문제가 MD한테 있다고 생각,직원들 얘기에 귀를 기울이고 다같이 잘 될 수 있는 방향으로 전환했음 좋겠습니다,1.0,2.0,1.0,2.0,1.0,1.4,2019-07-25 00:00:00, 서울 , 현직원 ,영업/제휴 
21,마케팅/시장조사 | 전직원 | 서울 | 2019/7/24,커머스를 전반적으로 경험할수 있으나 거기까지고 정은 많이 안갔던 회사,커머스 거대기업이라 그안에서 배울 수 있는 다양한요소가 있긴함,빠르게 전략적으로 움직이는 느낌이아니라 그냥 무작정 빠르게 일하려고 하는느낌이에요 다음스텝 생각하고 전략적으로 움직이길  그리고 뒤늦게나마 가족같은 회사 지향한다고 런치모임같은거 만든것같은데 만들지만말구 활성화를 위해 노력해주세요  정은 별로 안생긴 회사,전략적으로 빠르게 움직이는 회사가되시길 화이팅입니당,2.0,2.0,3.0,2.0,1.0,2.0,2019-07-24 00:00:00, 서울 , 전직원 ,마케팅/시장조사 
22,IT/인터넷 | 전직원 | 서울 | 2019/7/23,정치가 전부인 회사 정치가라면 승진도 잘하고 인정받으며 다닐 수 있음,복지가 좋다 다른 회사로 와보니 그래도 시스템화가 잘 되어있는 편이었다 구관이 명관,정치적으로 밀리면 하루아침에 다른 실로 발령나거나 전혀 새로운 일을 하게 될 수도 그래도 이제 정치가들이 많이 퇴사했다고 해서 발전하지 않을까 기대해본다,무언가 할 때 왜 이걸 하려고 하는지 설명을 해주면 좋겠다 그런거 없이 상세 과제가 탑다운으로 내려오니까 의사결정하거나 고민이 될 때 판단할 기준을 잡기가 힘들다,4.0,4.0,5.0,2.0,3.0,3.6,2019-07-23 00:00:00, 서울 , 전직원 ,IT/인터넷 
23,마케팅/시장조사 | 전직원 | 서울 | 2019/7/23,처음에 일배우기는 좋음  같이 일하는 사람들이 좋음,연차를 자유롭게 쓸수 있음  같이 일하는 직원들의 연령대가 낮음 어림 좋음,단순 업무가 많아서 좀 지루함  급여가 적음  출퇴근시 복잡함  약간 상사 눈치보임,새로운 사업을 많이 했으면 좋겠음  급여 인상을 해줬으면 좋겠다,3.0,2.0,3.0,3.0,3.0,2.8,2019-07-23 00:00:00, 서울 , 전직원 ,마케팅/시장조사 
24,IT/인터넷 | 전직원 | 서울 | 2019/7/21,데이터를 최상위 직급자만 볼수있는 비정상적인 회사 대표가 쇼핑을 좋아하지 않아 가격할인만 주구장창 추구한다,대표가 잘모르는게 많은게 최대장점 개발쪽은 그래서 일편하게 하다가 결과못내 헤드가 나가리 되는경우가 많은듯,빡빡한 자리 아이티기업에 맞지않는 상명하복의 기업문화 장안달고 오면 잘 상대해주지도 않음,,2.0,1.0,4.0,1.0,1.0,1.8,2019-07-21 00:00:00, 서울 , 전직원 ,IT/인터넷 
25,유통/무역 | 전직원 | 서울 | 2019/7/21,회사의 분위기나 회사 크기는 좋고 엠디로서의 성장기회를 주지만 일이 너무 많아 감당하기 힘들고 야근이 잦고 일의 패턴이 자주 바껴 적응할려고 하면 달라진 일의 패턴으로 혼란스러울때가 많았습니다,연차를 눈치안보고 쓸구 있고 구내식당에 음식도 잘나오고 가격도 저렴해 좋다,복지제도가 다양하지는 않음 일이 너무 많음 일의 패턴이 자주 바뀜,비효율적인 일의 패턴으로 일이 더 늘어나는 경우가 자주있고 사람을 소모품 취급하면 퇴사율은 점점 늘어날것입니다,3.0,3.0,2.0,3.0,2.0,2.6,2019-07-21 00:00:00, 서울 , 전직원 ,유통/무역 
26,마케팅/시장조사 | 현직원 | 서울 | 2019/7/20,복지하나는 좋음 실적좋으면 그만큼 대우가따름 전체적으로 젊은 분위기라 대학교같음 이것 저것 잘 챙겨주는 회사,연차 눈치안보고 씀 반차 반반차 있음 복지로 은근 혜택을 많이보고 이로인해 재밌게 잘 다니는거 있음 전체적으로 정말 젊고 어림 회사 계속 발전 임직원들은 위메프로 살때 십퍼 센트 포인트 정립 칼퇴근되긴함,연봉 그렇게 높진 않음 더높앗으면 좋겠음  실적으로 좀 압박좀 잇음 그외엔 없음,연봉 말고는 뭐 다 만족합니다 복지도 더 나아지고있고 좋아요,4.0,3.0,5.0,5.0,5.0,4.4,2019-07-20 00:00:00, 서울 , 현직원 ,마케팅/시장조사 
27,IT/인터넷 | 전직원 | 서울 | 2019/7/19,복지 괜찮고 회사 자체는 괜찮은것 같은데 케바케지만 이상한 사람들이 많음,다양한 복지와 구내식당 자유로운 분위기등등,정말 이상한 돌아이들이 좀 많은것 갔습니다,말이 많이 나오는 구성원 특히 팀장 이상급은 확인 좀 했으면 좋겠습니다,3.0,4.0,4.0,3.0,3.0,3.4,2019-07-19 00:00:00, 서울 , 전직원 ,IT/인터넷 
28,마케팅/시장조사 | 전직원 | 서울 | 2019/7/16,다양한 경험 가능 신입에게 많은 권한 주어짐 단 체계적이지 못하고 너무 유연한 조직 체계는 문제,점점 복지가 좋아짐 기혼 여성 다니기 편할듯 사옥이 역과 가까움 점심 괜찮은 편,육아관련 복지가 많이 미혼은 아쉬움 연차 사용 자유롭지 못함 성과급 없음,장기적으로 계획했으면 좋겠다 성과가 안나면 너무 빠르게 시스템을 바꾸는 듯,4.0,1.0,1.0,3.0,2.0,2.2,2019-07-16 00:00:00, 서울 , 전직원 ,마케팅/시장조사 
29,마케팅/시장조사 | 전직원 | 서울 | 2019/7/16,입퇴사가 워낙 많고 스타트업이지만 관리자들 정치가 너무 심하다,장점은 대외적으로 워라벨을 중시한다고 하지만 딱히 그렇지 않아서 내세울만한게 없다,분위기 급여 복지 워라벨 모두 평균이하다 그저 거쳐가는정도로 일배우고 다른데로 가는게 좋을 듯,,2.0,2.0,2.0,1.0,1.0,1.6,2019-07-16 00:00:00, 서울 , 전직원 ,마케팅/시장조사 
30,마케팅/시장조사 | 전직원 | 서울 | 2019/7/15,시대에 맞춰 복지를 다양하게 개선하려고 하지만 아직 옛 사고방식을 버리지 못한 기업,팀마다 분위기가 매우 다름 구내식당 아침1000원 점심2500원 저녁1000원 퀄리티 꽤 높음 휴가 많음,쓸데없는 일을 만들어서 사서 고생하는 스타일 다른 직원들에게 올 파장은 생각 안하고 계획을 자주 바꿈 팀마다 분위기가 매우 다름,작은 계획의 변경이 모든 직원들에게 올 큰 파장과 리스크를 생각했으면 한다,4.0,4.0,4.0,2.0,2.0,3.2,2019-07-15 00:00:00, 서울 , 전직원 ,마케팅/시장조사 
31,영업/제휴 | 전직원 | 서울 | 2019/7/14,중구난방 체계가 없어도 너무 없는 곳 비전 없어서 오래 다니지 못함,젊은 층이 많아서 복장 자유로움 그것 말고 장점이 별로 없음,체계가 너무 안 잡혀 있어 사람 갈아서 회사운영 인성이 나쁜 직원들이 많음 조직 개편한다고 이팀 가라 저팀 가라함 동네 구멍가게 수준,직원 의견을 잘 들을 필요가 있음,1.0,1.0,1.0,1.0,1.0,1.0,2019-07-14 00:00:00, 서울 , 전직원 ,영업/제휴 
32,영업/제휴 | 전직원 | 서울 | 2019/7/11,영업직군MD으로 입사는 말리고 싶습니다 팀바팀이 심해서 어느 팀이냐에 따라 아예 다른 회사 생활을 하는 느낌,나름 젊은 조직 구내식당이 저렴하다 삼성역 10초컷 복지포인트,엄청난 업무강도 자주 바뀌는 말도 안되는 정책들 수시로 옮겨다니는 내 자리,직원들 얘기에 좀 더 귀기울여주세요 아쉬움이 많이 남습니다,3.0,3.0,1.0,2.0,2.0,2.2,2019-07-11 00:00:00, 서울 , 전직원 ,영업/제휴 
33,서비스/고객지원 | 전직원 | 부산 | 2019/7/11,콜센터에서 6개월간 아르바이트했는데 위메프자체가 무리하게 특가나 이벤트를 진행해서 고객불만이 터져나감 그런 의미에서 cs팀을 너무 배려해주지 않음,초기교육을 잘해줘서 실제 고객민원응대시 어려움은 없음 그리고 알바 계약직인데도 야근이나 주말에 지원해서 일하면 초과수당주는게 좋았음,민원고객 진짜 많음 욕설고객도 많아서 콜센터가 원래그렇겠지만 스트레스엄청나서 같이 입사한 동기10명 중 나포함 2명만 6개월 끝까지 남아있엇음 그래서 강철멘탈됨 이건 장점인지 단점인지 모르겠으나 하여튼 멘탈에 강해지는데에 도움됨,,4.0,3.0,3.0,2.0,2.0,2.8,2019-07-11 00:00:00, 부산 , 전직원 ,서비스/고객지원 
34,IT/인터넷 | 현직원 | 서울 | 2019/7/11,젊은이들이 일하고 있어서 기업문화 좋음,야근수당 다 나오고 기업문화 및 복지가 좋음 분기별 포인트  위메프 10 적립 등은 꿀 복지인듯,3개월 단기계약으로 일단 들어왔는데 사내 공모는 6개월이상 재직해야 지원가능한 점 기타 채용은 외부에서만 채용중이라 단기계약으로 입사하실 분들은 이점을 참고할 것,능력없는 팀잠실장을 평가하는 제도는 꼭 필요한듯,2.0,4.0,4.0,5.0,3.0,3.6,2019-07-11 00:00:00, 서울 , 현직원 ,IT/인터넷 
35,마케팅/시장조사 | 현직원 | 서울 | 2019/7/11,정책과 지시는 이리저리 왔다갔다 직원의 고통은 아주 당연한 곳으로 여기며 온갖 창의적인 범법행위가 이뤄지는 곳,삼성역 가격대비 맛집 편리한 접근성 자율복장 맘껏쓰는 문구,맨날 속도와 실적만 강조하는 곳윤리따윈 개나줘버림 기업문화와 아이덴티티가 시속 300km인곳 md전문 교육소가아닌 md고문실이 맞으며 배우는건 전화스킬뿐 사람들이 우르르관두면 문제점 고칠 생각은 안하고 다른사람 뽑으면 되는줄 앎 단점에 대해 레포트작성가능,정신차리고 직원 좀 아껴주세요 누군가에겐 소중한 자산들입니다 언제까지 기계 고장나면 원인 파악안하고 나사 갈아치우기만 할겁니까,2.0,2.0,3.0,1.0,1.0,1.8,2019-07-11 00:00:00, 서울 , 현직원 ,마케팅/시장조사 
36,디자인 | 현직원 | 서울 | 2019/7/10,특정 부서 제외하곤 야근은 심하지 않지만 젊은 꼰대가 많고 특히 MD 부서측은 늘 전쟁통이다,연차를 비교적 자유롭게 쓸 수 있음 사내식당이 저렴하면서 괜찮다 야근이 비교적 적음MD파트 기준이나 부바부 팀바팀 분기마다 복지 포인트를 줌 분기마다 위메프 할인 쿠폰을 줌,연봉도 그냥 그렇고 복지도 원래 나쁘지 않았는데 지금은 잘 모르겠다 팀바팀이지만 들어봤을 때 무난한 팀이 별로 없다 일이 없어 일찍 퇴근하면 눈치를 준다 이 회사에 미래나 비전이 있는지 불투명하게 느낀다,,2.0,2.0,4.0,2.0,3.0,2.6,2019-07-10 00:00:00, 서울 , 현직원 ,디자인 
37,서비스/고객지원 | 전직원 | 서울 | 2019/7/8,보람차게 일할 수 있는 곳입니다 133455555,자유로운 연차 자유로운 복장 자유로운 점심문화 급여 수준이 좋음,어린 꼰대들이 많음 회사가 편해서 사람들이 안나감그래서 승진 힘들다,공정한 평가 기준을 만들어주세요 사내정치는 없애줬으면,2.0,4.0,4.0,2.0,2.0,2.8,2019-07-08 00:00:00, 서울 , 전직원 ,서비스/고객지원 
38,IT/인터넷 | 현직원 | 서울 | 2019/7/8,생각보다 회사 규모가 있고 복지도 나쁘지 않은편 그러나 대체로 근속연수가 길지 못하고 정치상황에 따라 분위기가 판가름 남,보여주기식이지만 그래도 꾸준히 복지를 늘리고 발전하려고 노력하고 있음,멀리 보지 못하고 자꾸 가까운 미래만 보고 움직임 성장가능성을 오히려 망치는 느낌,보여주기식 말고 합리적인 복지를 만들어나가주기를 바랍니다 본부마다 너무 다른 프로세스가 있어 협업이 어렵습니다 체계적인 것들을 맞추어 나가야할 필요가 있어 보입니다,3.0,2.0,5.0,4.0,3.0,3.4,2019-07-08 00:00:00, 서울 , 현직원 ,IT/인터넷 
39,영업/제휴 | 현직원 | 서울 | 2019/7/8,일이 많아 힘들다 바쁠때는 화장실 갈 시간도없이 일했으며 가끔 일이 적어도 눈치보여 쉬지못함,기본적인 복지를 누릴수있다 많지는 않지만 인센티브와 쿠폰이 들어온다 점심 맛있다 야근하면 종로김밥 공짜,일이 많고 어린꼰대가 많으며 개발을 안해줘서 시스템이 할일을 사람이한다,개발 좀 해주세요매출과 크게 직결되는거만 해주고 일하면서도 너무 노가다라 이걸 내가 왜 해야되는지 모르겠음,3.0,4.0,2.0,2.0,2.0,2.6,2019-07-08 00:00:00, 서울 , 현직원 ,영업/제휴 
40,마케팅/시장조사 | 전직원 | 서울 | 2019/7/5,걍 사회경험하기좋은곳 12년만 있다나가자 이런생각하는걸로 다들버팀 ㅋㅋ,연차 자유롭게쓸수있다 같이일하는 사람들은 나쁘지않다윗사람말고,그외의모든점이 비추임 꼰대들 말한마디에 좌지우지됨 다들 일년만하자 이생각으로 버팀 그냥 일하다보면 회사가 미친거같고 위로올라가면 올라갈수록 이건아닌데 하는게보임 사람들 갈아만든회사인데 나가면 응 너나가 너아니여도 할사람 많아 하고 기계취급함 한달에 한명은 꼭 퇴사함 ㅋㅋㅋ 말도 안되는 미션줌  진짜 딱 일년경험쌓자는 생각으로다니는건 추천 근데 그일년 하루하루가 지옥임,,1.0,2.0,1.0,3.0,1.0,1.6,2019-07-05 00:00:00, 서울 , 전직원 ,마케팅/시장조사 
41,영업/제휴 | 현직원 | 서울 | 2019/7/4,신입일 경우 정말 다양한 기획전과 여러가지 경험을 쌓을 수 있으며 이러한 업무에 대한 압박감이 심할 수도 있다 매출에 대한 압박과 광고영업에 대한 것도 어찌보면 장단점이 있고 엠디가 하고 싶다면 경험해보는 것도 나쁘지 않을듯 하다,연차 눈치보지 않고 자유롭게 쓸 수 있으나 부서별로 천차만별,수평적으로 보이고 복지가 좋아보이지만 실상은 수직적인게 많은 편,직원들의 소리를 듣지만 말고 반영을 해줬으면 좋겠습니다 소모품이 아닌 사람입니다,3.0,3.0,3.0,2.0,1.0,2.4,2019-07-04 00:00:00, 서울 , 현직원 ,영업/제휴 
